island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,species
Dream,35.6,17.5,191.0,3175.0,Adelie
Biscoe,49.9,16.1,213.0,5400.0,Gentoo
Biscoe,41.1,18.2,192.0,4050.0,Adelie
Torgersen,36.7,18.8,187.0,3800.0,Adelie
Torgersen,33.5,19.0,190.0,3600.0,Adelie
Torgersen,41.8,19.4,198.0,4450.0,Adelie
Biscoe,49.2,15.2,221.0,6300.0,Gentoo
Biscoe,40.6,18.8,193.0,3800.0,Adelie
Torgersen,41.5,18.3,195.0,4300.0,Adelie
Biscoe,45.2,14.8,212.0,5200.0,Gentoo
Torgersen,35.1,19.4,193.0,4200.0,Adelie
Biscoe,39.6,20.7,191.0,3900.0,Adelie
Torgersen,38.6,17.0,188.0,2900.0,Adelie
Biscoe,48.7,15.7,208.0,5350.0,Gentoo
Biscoe,39.0,17.5,186.0,3550.0,Adelie
Biscoe,50.8,17.3,228.0,5600.0,Gentoo
Biscoe,34.5,18.1,187.0,2900.0,Adelie
Dream,42.3,21.2,191.0,4150.0,Adelie
Dream,46.2,17.5,187.0,3650.0,Chinstrap
Biscoe,59.6,17.0,230.0,6050.0,Gentoo
Torgersen,38.6,21.2,191.0,3800.0,Adelie
Biscoe,50.0,16.3,230.0,5700.0,Gentoo
Dream,55.8,19.8,207.0,4000.0,Chinstrap
Biscoe,46.9,14.6,222.0,4875.0,Gentoo
Dream,45.4,18.7,188.0,3525.0,Chinstrap
Biscoe,45.5,13.7,214.0,4650.0,Gentoo
Dream,39.5,17.8,188.0,3300.0,Adelie
Dream,39.7,17.9,193.0,4250.0,Adelie
Dream,46.0,18.9,195.0,4150.0,Chinstrap
Dream,41.1,18.1,205.0,4300.0,Adelie
Dream,50.9,19.1,196.0,3550.0,Chinstrap
Biscoe,40.6,18.6,183.0,3550.0,Adelie
Torgersen,38.8,17.6,191.0,3275.0,Adelie
Dream,39.5,16.7,178.0,3250.0,Adelie
Biscoe,42.9,13.1,215.0,5000.0,Gentoo
Biscoe,50.2,14.3,218.0,5700.0,Gentoo
Torgersen,36.2,16.1,187.0,3550.0,Adelie
Dream,49.8,17.3,198.0,3675.0,Chinstrap
Biscoe,52.2,17.1,228.0,5400.0,Gentoo
Torgersen,34.6,21.1,198.0,4400.0,Adelie
Biscoe,49.3,15.7,217.0,5850.0,Gentoo
Torgersen,39.5,17.4,186.0,3800.0,Adelie
Dream,45.6,19.4,194.0,3525.0,Chinstrap
Biscoe,37.8,18.3,174.0,3400.0,Adelie
Torgersen,36.6,17.8,185.0,3700.0,Adelie
Biscoe,47.4,14.6,212.0,4725.0,Gentoo
Torgersen,39.0,17.1,191.0,3050.0,Adelie
Biscoe,50.4,15.3,224.0,5550.0,Gentoo
Biscoe,47.6,14.5,215.0,5400.0,Gentoo
Biscoe,35.5,16.2,195.0,3350.0,Adelie
