class,cap-shape,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,ring-number,ring-type,spore-print-color,population,habitat
p,x,n,t,p,f,c,n,k,e,e,s,s,w,w,o,p,k,s,u
e,x,y,t,a,f,c,b,k,e,c,s,s,w,w,o,p,n,n,g
e,b,w,t,l,f,c,b,n,e,c,s,s,w,w,o,p,n,n,m
p,x,w,t,p,f,c,n,n,e,e,s,s,w,w,o,p,k,s,u
e,x,g,f,n,f,w,b,k,t,e,s,s,w,w,o,e,n,a,g
e,x,y,t,a,f,c,b,n,e,c,s,s,w,w,o,p,k,n,g
e,b,w,t,a,f,c,b,g,e,c,s,s,w,w,o,p,k,n,m
e,b,w,t,l,f,c,b,n,e,c,s,s,w,w,o,p,n,s,m
p,x,w,t,p,f,c,n,p,e,e,s,s,w,w,o,p,k,v,g
e,b,y,t,a,f,c,b,g,e,c,s,s,w,w,o,p,k,s,m
e,x,y,t,l,f,c,b,g,e,c,s,s,w,w,o,p,n,n,g
e,x,y,t,a,f,c,b,n,e,c,s,s,w,w,o,p,k,s,m
e,b,y,t,a,f,c,b,w,e,c,s,s,w,w,o,p,n,s,g
p,x,w,t,p,f,c,n,k,e,e,s,s,w,w,o,p,n,v,u
e,x,n,f,n,f,w,b,n,t,e,s,f,w,w,o,e,k,a,g
e,s,g,f,n,f,c,n,k,e,e,s,s,w,w,o,p,n,y,u
e,f,w,f,n,f,w,b,k,t,e,s,s,w,w,o,e,n,a,g
p,x,n,t,p,f,c,n,n,e,e,s,s,w,w,o,p,k,s,g
p,x,w,t,p,f,c,n,n,e,e,s,s,w,w,o,p,n,s,u
p,x,n,t,p,f,c,n,k,e,e,s,s,w,w,o,p,n,s,u
e,b,y,t,a,f,c,b,k,e,c,s,s,w,w,o,p,n,s,m
p,x,n,t,p,f,c,n,n,e,e,s,s,w,w,o,p,n,v,g
e,b,y,t,l,f,c,b,k,e,c,s,s,w,w,o,p,n,s,m
e,b,w,t,a,f,c,b,w,e,c,s,s,w,w,o,p,n,n,m
e,b,w,t,l,f,c,b,g,e,c,s,s,w,w,o,p,k,s,m
p,f,w,t,p,f,c,n,n,e,e,s,s,w,w,o,p,n,v,g
e,x,y,t,a,f,c,b,n,e,c,s,s,w,w,o,p,n,n,m
