cap-shape,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,ring-number,ring-type,spore-print-color,population,habitat,class
x,y,f,f,f,c,b,p,e,b,k,k,n,b,o,l,h,y,d,p
x,n,t,n,f,c,b,p,t,b,s,s,w,g,o,p,n,y,d,e
x,y,f,f,f,c,b,g,e,b,k,k,n,p,o,l,h,v,p,p
b,n,f,n,a,c,b,o,e,?,s,s,o,o,o,p,o,c,l,e
x,w,f,n,f,w,b,p,e,?,k,k,w,w,t,p,w,n,g,e
x,y,t,l,f,c,b,n,e,r,s,y,w,w,o,p,k,s,p,e
x,w,t,l,f,c,b,n,e,c,s,s,w,w,o,p,k,s,m,e
x,e,f,s,f,c,n,b,t,?,s,s,p,p,o,e,w,v,p,p
x,w,f,n,f,w,b,n,t,e,s,f,w,w,o,e,n,s,g,e
f,g,t,n,f,c,b,w,t,b,s,s,g,g,o,p,k,v,d,e
f,n,t,a,f,c,b,n,e,r,s,y,w,w,o,p,n,y,p,e
f,n,f,s,f,c,n,b,t,?,s,s,w,p,o,e,w,v,p,p
f,n,t,n,f,c,b,u,t,b,s,s,w,p,o,p,n,y,d,e
f,g,f,n,f,w,b,p,t,e,f,s,w,w,o,e,k,s,g,e
x,n,f,s,f,c,n,b,t,?,s,k,w,p,o,e,w,v,d,p
x,w,t,a,f,c,b,k,e,c,s,s,w,w,o,p,n,s,m,e
k,e,f,s,f,c,n,b,t,?,k,s,w,w,o,e,w,v,l,p
f,e,t,n,f,c,b,p,t,b,s,s,p,w,o,p,n,v,d,e
f,n,t,n,f,c,b,u,t,b,s,s,p,p,o,p,n,y,d,e
f,g,f,f,f,c,b,g,e,b,k,k,n,n,o,l,h,v,g,p
f,w,f,n,f,w,b,n,t,e,s,f,w,w,o,e,k,s,g,e
x,g,f,c,f,c,n,g,e,b,s,s,w,w,o,p,n,s,d,p
x,e,t,n,f,c,b,w,t,b,s,s,p,p,o,p,n,v,d,e
k,n,f,s,f,c,n,b,t,?,k,s,p,p,o,e,w,v,l,p
f,n,f,f,f,c,n,b,t,?,s,s,p,p,o,e,w,v,d,p
f,n,f,n,f,w,b,h,t,e,f,s,w,w,o,e,n,s,g,e
b,n,f,n,a,c,b,n,e,?,s,s,o,o,o,p,o,c,l,e
k,e,f,y,f,c,n,b,t,?,k,k,w,p,o,e,w,v,p,p
f,g,t,n,f,c,b,w,t,b,s,s,p,p,o,p,k,y,d,e
x,n,t,n,f,c,b,u,t,b,s,s,w,w,o,p,k,v,d,e
x,y,t,a,f,w,n,n,t,b,s,s,w,w,o,p,n,v,d,e
f,n,t,n,f,c,b,n,t,b,s,s,w,w,o,p,n,y,d,e
x,n,t,l,f,c,b,w,e,r,s,y,w,w,o,p,k,s,g,e
f,y,f,f,f,c,b,p,e,b,k,k,b,p,o,l,h,v,p,p
f,g,f,f,f,c,b,g,e,b,k,k,n,b,o,l,h,v,g,p
f,w,t,f,f,c,b,w,t,b,f,s,w,w,o,p,h,v,g,p
x,g,t,n,f,c,b,w,t,b,s,s,p,w,o,p,n,v,d,e
x,g,f,n,f,w,b,p,t,e,s,s,w,w,o,e,n,s,g,e
x,n,f,s,f,c,n,b,t,?,k,s,w,p,o,e,w,v,d,p
x,y,f,f,f,c,b,h,e,b,k,k,n,n,o,l,h,v,p,p
f,g,f,n,f,w,b,p,t,e,f,s,w,w,o,e,n,a,g,e
f,e,f,y,f,c,n,b,t,?,k,k,p,p,o,e,w,v,p,p
x,w,f,n,f,w,b,n,t,e,s,s,w,w,o,e,k,a,g,e
x,b,t,f,f,c,b,p,t,b,f,s,w,w,o,p,h,s,u,p
f,g,f,f,f,c,b,g,e,b,k,k,n,b,o,l,h,v,p,p
x,y,f,f,f,c,b,p,e,b,k,k,p,b,o,l,h,v,d,p
x,e,f,y,f,c,n,b,t,?,s,s,p,w,o,e,w,v,p,p
x,y,f,f,f,c,b,h,e,b,k,k,n,b,o,l,h,y,g,p
f,e,t,n,f,c,b,u,t,b,s,s,p,g,o,p,n,v,d,e
k,n,f,y,f,c,n,b,t,?,s,k,w,p,o,e,w,v,p,p
k,n,f,s,f,c,n,b,t,?,k,k,w,p,o,e,w,v,l,p
f,g,f,f,f,c,b,g,e,b,k,k,p,n,o,l,h,y,g,p
k,n,f,f,f,c,n,b,t,?,k,k,w,w,o,e,w,v,l,p
f,n,f,y,f,c,n,b,t,?,s,s,w,w,o,e,w,v,l,p
f,g,f,f,f,c,b,g,e,b,k,k,n,b,o,l,h,v,g,p
f,g,f,f,f,c,b,h,e,b,k,k,n,n,o,l,h,v,g,p
f,n,f,f,f,c,n,b,t,?,s,s,p,w,o,e,w,v,d,p
x,e,t,n,f,c,b,e,e,?,s,s,w,w,t,e,w,c,w,e
x,n,f,n,f,w,b,h,t,e,f,f,w,w,o,e,k,a,g,e
b,w,t,l,f,c,b,n,e,c,s,s,w,w,o,p,k,n,g,e
x,w,f,n,f,w,b,h,t,e,f,s,w,w,o,e,k,a,g,e
x,w,f,n,f,w,b,k,t,e,s,s,w,w,o,e,k,a,g,e
