Variance_Wavelet,Skewness_Wavelet,Curtosis_Wavelet,Class
-2.341,12.3784,0.70403,0
5.0429,-0.52974,0.50439,0
-2.0066,-6.719,9.0162,1
-0.36279,8.2895,-1.9213,0
4.2164,9.4607,-4.9288,0
3.9294,1.4112,1.8076,0
1.6406,3.5488,1.3964,0
0.32444,10.067,-1.1982,0
-0.10648,-0.76771,7.7575,0
-0.16735,7.6274,1.2061,0
0.21084,9.4359,-0.094543,0
-2.7419,11.4038,2.5394,0
0.0031201,-4.0061,1.7956,1
1.1588,8.9331,-2.0807,0
-3.5681,-8.213,10.083,1
-0.77688,0.13036,-0.031137,1
-2.3221,-9.3304,9.233,1
-2.2811,-0.85669,2.7185,1
1.4479,-4.8794,8.3428,0
-3.6053,-5.974,10.0916,1
1.7317,-0.34765,4.1905,0
2.3925,9.798,-3.0361,0
4.1542,7.2756,-2.4766,0
-2.286,-5.4484,5.8039,1
-5.525,6.3258,0.89768,1
-4.2887,-7.8633,11.8387,1
4.2027,0.22761,0.96108,0
2.5331,2.9135,-0.822,0
-3.551,1.8955,0.1865,1
3.866,-2.6383,1.9242,0
2.6606,3.1681,1.9619,0
-2.2083,-9.1069,8.9991,1
3.9166,10.2491,-4.0926,0
-0.45062,-1.3678,7.0858,0
5.1731,3.9606,-1.983,0
4.0962,10.1891,-3.9323,0
-2.5084,-0.22763,1.488,1
2.1526,-6.1665,8.0831,0
-1.5877,-6.6072,5.8022,1
-2.1668,1.5933,0.045122,1
4.2969,7.617,-2.3874,0
-0.37013,-5.554,4.7749,1
-0.7869,9.5663,-3.7867,0
0.18868,0.70148,-0.51182,1
-1.2244,1.7485,-1.4801,1
2.888,0.44696,4.5907,0
5.7867,7.8902,-2.6196,0
-0.1269,-1.1505,-0.95138,1
4.3365,-3.584,3.6884,0
-2.2987,-5.227,5.63,1
2.9571,-4.5938,5.9068,0
4.4682,2.2907,0.95766,0
2.2928,9.0386,-3.2417,0
0.50813,0.47799,-1.9804,1
0.17346,7.8695,0.26876,0
4.3398,-5.3036,3.8803,0
-2.3142,-0.68494,1.9833,1
3.6244,1.4609,1.3501,0
1.8314,6.3672,-0.036278,0
-0.21661,8.0329,1.8848,0
2.8561,6.9176,-0.79372,0
0.96574,8.393,-1.361,0
0.94225,5.8561,1.8762,0
0.56953,7.6294,1.5754,0
5.7456,10.1808,-4.7857,0
-3.1875,-7.5756,11.8678,1
-4.5531,-12.5854,15.4417,1
3.6216,8.6661,-2.8073,0
-3.2238,2.7935,0.32274,1
-1.3,10.2678,-2.953,0
-2.2625,-0.099335,2.8127,1
-1.1497,1.2954,7.701,0
-2.2482,3.0915,-2.3969,1
0.77805,6.6424,-1.1425,0
2.1881,2.7356,1.3278,0
0.27331,4.8773,-4.9194,1
4.7285,2.1065,-0.28305,0
-1.3274,9.498,2.4408,0
1.4806,7.6377,-2.7876,0
-1.0401,9.3987,0.85998,0
-1.9555,0.20692,1.2473,1
0.3434,0.12415,-0.28733,1
-3.8826,4.898,-0.92311,1
4.0215,-2.1914,2.4648,0
3.8213,0.23175,2.0133,0
-2.5961,-9.349,9.7942,1
2.8084,11.3045,-3.3394,0
3.3583,10.3567,-3.7301,0
-2.7769,-5.6967,5.9179,1
1.0607,2.4542,2.5188,0
0.33111,4.5731,2.057,0
4.2772,2.4955,0.48554,0
2.0139,6.1416,0.37929,0
3.9479,-3.7723,2.883,0
-1.803,11.8818,2.0458,0
0.88872,5.3449,2.045,0
-2.6685,-10.4519,9.1139,1
3.0934,-2.9177,2.2232,0
-2.0659,1.0512,-0.46298,1
1.7496,-0.1759,5.1827,0
